,COMID,ElevCat,LAT,LONG,Precip8110Ws,region_vpu,SAMPLEID,Tmean8110Ws,WsAreaSqKm
16,1400634,1873.398861,37.4949913,-109.7980347,375.2749819,CO_14,39AD9AA9-B5A5-4464-B38B-85DCF509959B,9.764495019,36.0369
17,2520910,1855.772081,39.31174469,-109.3738403,415.3031927,CO_14,15FDA144-23B2-4D54-A787-78A6915BF876,7.69962614,72.9594
18,2522508,1390.543187,38.9077034,-109.2258606,416.7885175,CO_14,F68257B6-93C2-41E7-BB5B-24BA686CC2EF,8.931020151,256.7205
19,2522552,2068.764159,38.87258148,-109.0898438,441.6450792,CO_14,9DEA1BE6-3C62-4458-837A-81AF65B24A37,8.725386174,32.679
20,3277815,2061.694297,37.79383087,-111.7200089,568.6957944,CO_14,25B09505-E601-4906-8482-8D92B8687AE9,5.2297905,159.1974
21,3277833,1749.17931,37.82221985,-111.4182816,265.8599622,CO_14,DA3677DC-E536-4671-9B95-9E740DD11F68 ,10.37399025,24.8508
22,3277849,1780.136685,37.77449036,-111.470932,453.4321001,CO_14,E42D79EE-72CC-4D59-9CEE-BDAE82FCD5C2,6.755084274,987.4872
23,3277867,1691.463202,37.76735687,-111.398201,437.9222247,CO_14,9B77927A-676A-4A3A-8B12-FCEC625D2C16 ,7.054132391,1247.3163
24,3277879,1681.960428,37.76009369,-111.3651123,436.2944324,CO_14,EE974584-4B94-4F67-BFE1-59176C673A2F ,7.087715586,1257.2154
25,3378687,1760.183226,38.66954041,-109.3365707,372.4179919,CO_14,BA254A53-D7CE-40C9-BC2B-CE45E0B9C48D,10.58990793,81.1773
26,3378997,1497.75345,38.70513153,-109.3139343,343.6641062,CO_14,EB6B1EF1-B9A9-4E98-AC54-B200C8501B7F,11.19293462,54.7092
27,3379019,1594.4826,38.59880829,-109.5125351,307.1352101,CO_14,C48011E7-8F96-4E46-8DFC-42344BA29402,11.84532148,51.9669
28,3379019,1594.4826,38.60631561,-109.5310593,307.1352101,CO_14,968C5A54-9AEE-4424-8680-2D14573BF1A1,11.84532148,51.9669
29,3379561,1557.842409,38.37811279,-109.4576111,370.8210665,CO_14,8FA06F1C-0256-4A61-9AD6-57B5FC8F4089,9.679718518,104.6808
30,3379621,2297.237884,38.35484314,-109.3552094,486.7157486,CO_14,4E02B564-CD8C-4599-BE6F-792CE6311AA1,8.043848621,20.2464
31,4879797,1265.526754,38.75577927,-110.1480484,323.8768921,CO_14,B44C8D10-D884-453D-B6A2-2BC396205F08 ,8.760365327,6276.8898
32,4879797,1265.526754,38.75033951,-110.1445618,323.8768921,CO_14,19FCDC9D-0EC9-4D07-821B-2C6C53E4555C,8.760365327,6276.8898
33,4879801,1318.444345,38.73666763,-110.2957535,340.8229614,CO_14,E71EFAB6-89B2-49A1-884F-7B7BC36B1426 ,8.302562449,5512.032
34,4879809,1287.168624,38.73088074,-110.2523422,334.7132308,CO_14,9A725ACE-34DE-413C-8665-E7DC9CFE0F69,8.462913808,5758.3008
35,4885639,1564.290905,37.85559845,-110.1763458,439.0771342,CO_14,446E52BA-9652-46BB-958E-DA527B35145A,8.84266925,605.5299
36,4885675,1861.04998,37.84267807,-110.0936356,472.2694737,CO_14,39596CC5-5453-48EA-BD33-421874E457A6,8.275631836,493.6347
37,4885683,1758.854093,37.8394165,-110.1463852,461.5320712,CO_14,3EA044D9-4053-4ED4-A44B-5B44850F6BF4,8.46553242,523.4427
38,4887187,1829.148128,37.96549988,-109.9648743,387.8002469,CO_14,0A4ACF2D-58C9-4F83-A523-2FC356091564,9.180574061,192.9474
39,4887947,1414.677297,37.47413635,-110.4867935,247.3552845,CO_14,FED87940-C807-4B7D-968D-2735F60596D6,12.46275246,164.8944
40,4895327,1384.409042,38.52420807,-110.8886795,293.4533093,CO_14,F0952C0C-D76E-4B18-B592-A0F0096FC509 ,8.28097424,3110.4297
41,4896107,1616.553601,38.47240448,-110.988327,256.3111245,CO_14,A70AFFF0-D1E0-4907-A476-90030FC3CC8D,9.02424499,822.1329
42,4900491,2251.492084,38.42043686,-111.6856613,497.5345714,CO_14,28AB0003-0075-44BD-9468-E333A8CF905E,5.433755988,193.7655
43,4900747,1944.197395,38.30210876,-111.3474503,354.6332638,CO_14,2A7D1694-C3BD-463F-B235-95965A495D8A,6.7554604,91.3266
44,4901445,2089.908595,38.15454483,-111.2348709,342.8393775,CO_14,DFFBAB9C-C9EA-4B06-BF3C-11D749232EFE ,6.620446359,48.4452
45,4902157,1353.615155,38.37097168,-110.7565689,356.628527,CO_14,185CC849-5743-4D86-B89A-929044E105BE,7.664979107,4904.7084
46,4909850,1371.221956,37.41083527,-114.0200424,447.3877053,CO_15,980AAD94-D70D-4B26-AFBC-366A160E0155,11.12569483,203.6772
47,4909850,1371.221956,37.40228653,-114.0154572,447.3877053,CO_15,4C511DAA-2434-4785-AC6F-BDB4F41EBE89,11.12569483,203.6772
48,4909896,1283.337138,37.37910461,-114.0027695,444.9212979,CO_15,F4A2C8B3-AF9F-43D1-8C71-0DA7F08B9B67,11.34981629,259.9002
49,4913774,1635.112477,37.41789246,-113.8746109,582.4796623,CO_15,BB3969E7-16EF-4A38-93DF-5DA61179FE7C,10.53792646,15.8598
50,4914802,832.673458,37.01918793,-113.669281,380.4137289,CO_15,E16E77DB-E856-4015-93C8-4D6E5CF70CA6,12.25109025,10013.9004
51,5303163,2277.70175,39.34650803,-111.7579498,554.9891402,GB_16,328E711B-04C5-45D9-B8E4-213C2CD2A4EA,7.10814174,18.6732
52,7879270,1986.772624,41.79731369,-111.1476669,437.5630246,GB_16,F4E39A17-CD5B-4A2E-B1AA-0203E587A3A3 ,4.61963409,15.6141
53,7879298,2049.67369,41.77968979,-111.1961517,482.2158888,GB_16,01C160FE-6FC6-45BB-800F-F26BFE8B797D,4.690344222,10.6704
54,7879572,2072.266705,41.60455704,-111.325119,670.0993658,GB_16,A0800647-F727-4386-93DD-B606157DB0D6 ,4.515107049,24.8922
55,7879572,2072.266705,41.60659027,-111.3270721,670.0993658,GB_16,02C64A9F-7A73-4207-B028-E83AFCD1EFB0 ,4.515107049,24.8922
56,7879584,2078.718957,41.59714508,-111.3117981,645.9768904,GB_16,94710FE3-15D4-435B-9637-9D381EF4DC67 ,4.557749134,38.2986
57,7879594,2076.494742,41.58514786,-111.3080139,661.0382642,GB_16,7CBC2D63-A08B-4B95-98D3-03FCC37134CA ,4.660876012,77.202
58,7879594,2076.494742,41.58233261,-111.3122025,661.0382642,GB_16,397FCB8E-0B3A-4865-84FA-CBB228DC2015 ,4.660876012,77.202
59,7879620,2196.77949,41.57709885,-111.337883,705.6826019,GB_16,A77F29F2-67E3-49A0-ABE0-87B0DD060DDE ,4.602690007,53.9721
60,7879764,2173.879132,41.50341415,-111.3021393,737.0889287,GB_16,C1123BE5-8FE0-42A5-B6B1-2D1D6C11030C ,4.53662636,28.7964
61,7880786,2081.665982,41.71600723,-111.265007,543.0192261,GB_16,FB72364F-40AE-4220-A051-3BEC9ACDB03C ,4.714805264,11.2842
62,7880786,2081.665982,41.71503448,-111.263855,543.0192261,GB_16,E6292A95-CB5D-487D-8F79-BCBC7761C80E ,4.714805264,11.2842
63,7880788,2011.496821,41.70222855,-111.2586441,522.2669766,GB_16,F6B35972-2E96-48CC-BE57-E6D8AF04D4C9 ,4.531642975,15.1092
