SAMPLE,EVI_MAX_AVE,TMAXPT,TMAX_AVE,TMEAN_AVE,TMIN_AVE,RH_AVE,TMEANPT,MEANP_AVE,MAXP_AVE,MAXWD_AVE,FST32F_AVE,ELEV_MIN,ELEV_MEAN,DD_LAT_Y,SQ_KM
173537,2878.436768,331,297.1556396,87.7660675,-84.7440033,52.31999969,110,359.5585327,53.60939789,6.950939178,278.2641907,1646.543823,2208.678549,37.5778582,84.22747779
173538,2061.949951,362,295.6263733,79.6290741,-108.7009735,51.32941055,119,335.4036865,39.34735107,6.477160931,270.3227234,1246.875977,1997.313398,38.7308741,5782.868109
173539,1515.290649,340,298.7654724,82.98207092,-101.2900391,49.68362808,117,255.7626038,30.5503273,6.950745106,272.328125,1458.245606,1993.491441,38.4723992,846.535693
173540,2194.791016,304,273.5390015,67.29421997,-108.3673553,46.74596786,90,325.0728149,39.77651978,7.450991154,267.448822,1897.021729,2380.525242,38.3021022,90.17446908
173541,1783.417114,279,252.6930084,46.62918854,-122.1397858,46.94058228,59,457.0431824,56.73388672,8.225513458,253.1544647,2195.885742,2575.759401,38.4204322,193.6281153
173542,2012.023315,362,280.8659058,71.07402039,-107.7623978,47.77970505,118,354.1817322,45.06108475,7.485368729,265.8031616,1322.31543,2242.70424,38.3709642,4971.71711
173543,3694.043945,273,261.0870667,58.79250336,-110.1993866,50,66,572.8821411,69.89536285,9.008994102,261.513916,2107.47583,2396.151463,39.3465021,6.959477118
173544,2599.578613,297,271.7112732,61.28033829,-110.0758896,48.60630417,82,326.2559814,39.53050613,7.758874893,264.1238098,1975.43042,2397.887879,38.1544702,46.28239592
173545,2598.715088,341,306.5661621,112.0159378,-47.66566467,44.78277969,137,523.9936523,81.23812103,7.386938095,280.7187195,1261.5271,1760.033696,37.4108305,201.7442033
173546,2252.255127,358,324.0076294,112.8859558,-58.22447205,50.50501251,142,404.5785217,56.92557907,6.165144444,298.3208923,1169.432861,1646.733278,37.2566735,75.33604895
173547,2011.750732,314,308.8600159,109.5725784,-55.79309464,54.90729904,114,394.6027832,50.03642273,6.635022163,281.8686218,1591.807739,1837.552917,37.0410705,24.56756229
173548,2002.794678,309,308.5144043,109.2524185,-56.04502106,54.9523468,111,396.2079773,50.27062225,6.672066212,281.8735352,1614.406738,1849.070687,37.0543815,22.18123612
173549,2586.976318,347,308.3753967,114.4186096,-44.61602783,44.82487869,140,514.119812,80.1026001,7.266021252,282.1174011,1180.621826,1729.422432,37.3791005,261.7061775
