SiteID,Designatio,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
HAWK-363,Cal,38.85490036,-119.9469986,8944545,2635.6,939.89,4.55,7.6887
HAWK-364,Cal,39.10910034,-120.1719971,8941693,2027.59,1492.71,6.26,30.4992
HAWK-365,Cal,38.85630035,-119.9400024,8944533,2501.23,861.06,4.47,10.7946
HAWK-367,Cal,38.14920044,-120.1220016,343481,1424.24,1447.85,6.72,144.7371
HAWK-368,Cal,38.07249832,-120.1039963,17074635,1602.3,1173.91,10.56,11.7198
HAWK-369,Cal,41.09339905,-122.112999,7960919,729.73,1821.92,11.53,8.5788
HAWK-37,Cal,44.07130051,-113.2099991,23233059,1906.1,689.29,1.47,45.0918
HAWK-370,Cal,41.45190048,-121.8939972,948020898,1784.02,1219.86,7.08,10.7073
HAWK-371,Cal,38.41609955,-119.7399979,346305,2225.19,1479.15,3.66,61.686
HAWK-375,Cal,41.91540146,-120.887001,2557039,1494.77,531.71,7.18,231.6528
HAWK-377,Cal,40.23740005,-123.0790024,8235160,1184.09,1567.87,10.21,49.1769
HAWK-378,Cal,40.49549866,-123.0339966,8234604,1086.84,1408.54,10.62,15.3405
HAWK-379,Cal,41.38570023,-121.0370026,7925095,1407.8,463.79,7.61,3930.6627
HAWK-380,Cal,41.44319916,-121.0139999,7925033,1419.66,452.93,8.5,88.0758
HAWK-381,Cal,41.36180115,-120.2819977,7928665,2125.45,842.91,4.03,12.7683
HAWK-382,Cal,41.09640121,-122.1350021,7960907,961.93,1651.66,12.58,4.1877
HAWK-386,Cal,39.71839905,-120.6399994,8041805,1756.13,1626.59,7.81,26.7822
HAWK-387,Cal,39.73149872,-120.7249985,8040307,1910.52,1768.05,7.85,5.3577
HAWK-388,Cal,39.80369949,-120.8130035,8039745,1530.73,1708.34,8.2,51.4584
HAWK-389,Cal,40.38589859,-121.3399963,2772782,1690.73,1421.49,7.4,20.493
HAWK-390,Cal,40.16650009,-121.6009979,8020610,1212.32,1525.97,9.13,316.3509
HAWK-391,Cal,40.22359848,-121.4120026,8020498,2015.48,1752.59,7.61,5.2254
HAWK-392,Cal,40.40019989,-121.439003,2772712,1880.31,2388.97,6.46,26.6778
HAWK-393,Cal,40.20199966,-121.5080032,8021380,1615.53,1765.04,9.04,16.1064
HAWK-394,Cal,41.15710068,-120.262001,7930205,2087.95,667.44,5.37,1.8918
HAWK-396,Cal,41.16109848,-120.2890015,7930225,1896.05,622.2,5.69,14.4036
HAWK-398,Cal,41.27389908,-120.2720032,7929215,1999.75,788.29,4.55,45.882
HAWK-399,Cal,41.17589951,-120.2050018,7930055,2216.84,762.45,4.98,38.5326
HAWK-40,Cal,47.87279892,-116.1050034,24374416,1052.39,1271.49,5.38,14.202
HAWK-400,Cal,39.58520126,-120.8089981,8058251,1157.12,1890.96,8.77,62.5257
HAWK-401,Cal,39.5992012,-120.5100021,8058173,2127.41,1662.38,6.31,11.5695
HAWK-402,Cal,39.61589813,-120.5080032,8058075,2014.55,1582.79,6.7,8.2476
HAWK-403,Cal,39.43159866,-120.2419968,8933524,1967.14,994.58,5.62,24.2775
