SiteID,Model,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
PIBO:0901,PIBO,45.229408,-117.35795,23437329,2232.887448,675.7253325,5.773289453,203.5341
PIBO:0932,PIBO,44.958861,-118.12664,24208721,1583.665327,1316.637561,10.90065428,21.393
PIBO:1278,PIBO,48.295224,-115.66365,22878055,1285.148359,3351.83852,6.032128903,103.1724
PIBO:1286,PIBO,47.775768,-115.73778,22976184,1350.852249,2378.200029,11.68407057,5.7681
PIBO:1288,PIBO,47.798002,-115.72796,22976168,1128.979683,2420.220492,12.13595079,33.6357
PIBO:1313,PIBO,47.23093,-113.15462,22913572,1649.884164,3927.705148,8.228531568,19.215
PIBO:1340,PIBO,46.494094,-115.38995,23623368,1167.762486,1965.769833,5.225786267,7.461
PIBO:1341,PIBO,46.671733,-115.04753,23623646,1255.40209,1535.392926,10.05477005,5.2731
PIBO:1344,PIBO,46.295347,-114.89926,23581213,1397.33468,2002.260433,3.520721107,5.2596
PIBO:1345,PIBO,46.320393,-114.70672,23581165,1790.179234,2022.054568,4.916631062,21.1338
PIBO:1346,PIBO,46.255436,-114.58562,23582553,1949.869933,602.5135868,5.38909992,3.582
PIBO:1348,PIBO,46.2108,-114.49315,23581139,1898.904049,532.244784,7.431227156,192.2895
PIBO:1349,PIBO,46.291062,-114.89917,23581203,1291.233358,2097.759507,5.312847055,16.1901
PIBO:1350,PIBO,46.227008,-114.62058,23581095,1834.731391,733.4134365,3.578185705,127.6794
PIBO:1368,PIBO,45.167635,-114.37359,23503130,1887.688682,774.4203601,5.768705023,5.76
PIBO:1372,PIBO,45.176419,-114.52872,23503104,2439.419226,850.8571508,5.095670692,7.5231
PIBO:1400,PIBO,43.978359,-114.89766,23483309,2459.470983,2052.941275,6.726737588,2.7837
PIBO:1404,PIBO,45.140853,-114.95405,23531939,1592.065906,1090.863437,4.742248602,9.4617
PIBO:1427,PIBO,46.04681,-117.62444,23442925,1120.121745,677.5424712,6.830384914,103.14
PIBO:1436,PIBO,45.340156,-117.59399,23438027,1188.242333,579.3343734,5.415858514,8.514
PIBO:1439,PIBO,45.178051,-117.45924,23437101,1840.128205,1316.887171,4.48007901,12.1644
PIBO:1507,PIBO,43.84079,-115.25597,23377630,1904.222523,2038.577759,9.956723836,26.1171
PIBO:1509,PIBO,43.855868,-115.13767,23377328,1877.699761,1888.025381,5.950862973,46.4166
PIBO:1510,PIBO,43.684901,-115.5911,23382243,1704.195115,1747.511174,10.22042014,3.5784
PIBO:1512,PIBO,43.71007,-115.46485,23377168,1949.822162,1783.765604,7.155060765,2.2761
PIBO:1548,PIBO,45.953348,-117.80058,23442243,1180.824337,1231.915452,2.957162473,70.4403
PIBO:1560,PIBO,44.073977,-114.24698,23479843,2157.538303,1533.190042,10.23953549,26.0091
PIBO:1668,PIBO,45.372907,-115.207982,23541800,1835.088365,582.4362069,4.265884967,40.7043
PIBO:1670,PIBO,44.395885,-114.82946,23478869,2197.218744,1371.712633,8.798664972,9.4788
PIBO:1672,PIBO,45.95674,-117.79177,23442235,1196.845569,1511.752941,2.820408217,10.3968
PIBO:1673,PIBO,45.913194,-117.88272,23443639,1183.386112,770.328238,4.123440623,15.8004
PIBO:1768,PIBO,48.900102,-116.60995,22904535,1462.333169,407.3055171,6.653913359,2721.8367
PIBO:1778,PIBO,48.645251,-115.68502,22900568,1319.882375,1399.251414,4.180124191,4.2471
PIBO:1780,PIBO,48.55744,-115.54485,22881057,1209.111588,4199.009607,5.029519004,4.5198
PIBO:1788,PIBO,48.109481,-113.32929,22957311,1537.562279,3077.096798,6.325487402,68.8068
PIBO:1789,PIBO,48.251009,-113.57888,22957213,1534.475068,1858.142017,3.899011052,19.3761
PIBO:1816,PIBO,46.402822,-114.49318,23588672,1726.551696,2563.508621,5.176551475,2.5038
PIBO:1819,PIBO,46.407998,-114.80279,23588508,1784.105826,1819.347159,6.378870511,4.8843
PIBO:1834,PIBO,45.332621,-115.04741,23542230,2018.900888,612.0960696,4.98772274,237.4173
