SiteCode,CaO_Mean,TP_Mean,Vol_ave,AtmCa,AtmNa,AtmNO3,AtmSO4,TMIN_WS,XWD_WS,RH_WS,PT_Tmin,AWC_soil,Db3rdbar,Kfact,Pct_Alfi,SOC,EVI_AveAve,Evergr_ave,alru_dom,Wb_mx_area,slpavg,GW_P_Sp_Mx,ER13,PPT_ACCUM,PPT_2MoAvg,DOY,Type,GIS_LAT,GIS_LONG
WCAP99-0613,5.44,0.17,0,0.032,0.067,0.27,0.129,-10.5,115.1,66.7,-13,0.0856,1.4102,0.1592,9.6,7.8172,3711,0.8518,0.0408,0,0.1568,49,N,144243.2,1021.5,221,REF,41.88844,-123.41309
WCAP99-0618,3.35,0.13,0,0.034,0.157,0.28,0.17,10.6,107.3,70.2,30,0.129,1.2959,0.2802,93.4,9.6442,4174,0.6403,0.0884,1423,0.1017,54,N,208302.4,139.1,204,REF,40.6568,-123.9803
WCAP99-0629,4.86,0.21,0.6871,0.07,0.066,0.527,0.251,-96,101.3,59.8,-74,0.0694,1.3171,0.122,0,6.1334,1982,0.2833,0.0881,10151,0.0473,31,N,98433.3,1708.2,178,REF,38.69578,-119.87532
WCAP99-0674,3.85,0.16,0,0.075,0.233,0.808,0.415,-48,57,40,-12,0.0643,1.56,0.13,0,3.0018,3464,0.5023,0,0,0.2107,146,N,19415.5,679.4,136,REF,34.17617,-116.9839
WCAP99-0677,12.82,0.12,0.0515,0.062,0.188,0.602,0.31,11.3,41.7,61.7,69,0.133,1.4465,0.2852,57.2,4.5198,2621,0.1503,0,0,0.154,19,N,28942.1,577.5,129,REF,34.7477,-120.05303
WCAP99-0767,5.57,0.2,0,0.035,0.317,0.261,0.22,8,70.4,58.6,22,0.1048,1.4076,0.2034,0,6.2432,3058,0.3458,0.0457,1821,0.1681,27,N,66241.1,2101.3,283,REF,39.44212,-122.63613
WCAP99-0779,17.15,0.12,0,0.062,0.197,0.639,0.326,-24.5,38,53,12,0.1423,1.4774,0.3329,98.2,3.5056,2773,0.2343,0,0,0.1595,22,N,89845.3,41.7,192,REF,34.66959,-119.75404
WCAP99-0780,6.76,0.19,0,0.104,0.222,0.831,0.442,-10,52,45,0,0.1097,1.4544,0.2,66.8,3.3587,2804,0.2675,0,0,0.0791,22,N,42784.5,4380.3,135,REF,32.92981,-116.55901
WCAP99-0787,3.25,0.13,0,0.081,0.225,0.817,0.423,-97,66,44,-83,0.06,1.54,0.1,0,2.8526,2015,0.7953,0,0,0.2996,183,N,57664.1,237.8,178,REF,34.14599,-116.87859
WCAP99-0794,4.52,0.17,0,0.091,0.217,0.827,0.433,-21,47,46,-13,0.0677,1.5445,0.129,0,2.8862,3009,0.6549,0,0,0.2093,19,N,46971,2695.9,130,REF,33.72962,-116.6735
WCAP99-0796,18.13,0.11,0,0.062,0.195,0.631,0.322,-23,41.5,55,11,0.1365,1.4845,0.32,98.5,3.505,3242,0.4964,0,0,0.2031,25,N,92362.6,36.5,191,REF,34.68351,-119.79875
WCAP99-0811,4.07,0.1,0,0.032,0.079,0.272,0.135,-17.7,133.7,64.3,-7,0.0995,1.2461,0.1936,50.5,9.5374,3044,0.7416,0.0461,6790,0.1889,93,N,157779.1,3425.8,212,REF,41.57212,-123.64054
WCAP99-0813,3.36,0.13,0,0.034,0.263,0.268,0.203,-1.8,92.7,60.5,15,0.11,1.525,0.235,0,7.989,3310,0.0196,0.0367,727,0.172,36,N,141461.6,3112.1,128,REF,39.95967,-123.43628
WCAP99-0816,2.79,0.15,0,0.034,0.309,0.255,0.215,-9,101.7,63,-12,0.08,1.4943,0.1261,0,6.6682,2906,0.5812,0.0253,0,0.0697,46,N,91493.3,141.5,226,REF,39.58789,-122.9165
WCAP99-0826,3.36,0.13,0,0.034,0.313,0.245,0.212,10.9,89,62.7,3,0.1171,1.4293,0.2,36.5,7.9,3569,0.37,0.0415,0,0.1735,40,N,82466.7,371.2,261,REF,39.55779,-123.28132
WCAP99-0831,5.1,0.16,0,0.033,0.127,0.282,0.158,-23.3,87.8,62.1,-12,0.0819,1.4348,0.171,0,7.3158,3679,0.858,0.1085,0,0.0956,1912,N,68942.5,2195.9,192,REF,40.6977,-123.36434
WCAP99-0833,6.77,0.27,1,0.031,0.035,0.275,0.118,-63,88.8,67,-56,0.0693,1.2364,0.1771,0,8.01,2644,0.9641,0.0296,93794,0.0548,18,N,37437,1207.1,227,REF,41.8617,-122.20766
WCAP99-0835,13.78,0.13,0,0.038,0.318,0.312,0.245,35,62,67,32,0.11,1.4,0.32,105.8,6.7906,4090,0.4729,0.0284,0,0.0287,32,N,73996.5,234,262,REF,38.36687,-122.95615
WCAP99-0837,3.32,0.13,0,0.035,0.25,0.277,0.203,-22.4,105.4,63.5,1,0.0806,1.5457,0.1407,0,6.6293,2971,0.6546,0.0428,94287,0.1279,51,N,190085.5,162.2,190,REF,39.8693,-123.05088
WCAP99-0838,1.49,0.13,0,0.034,0.158,0.28,0.171,34,111,74,28,0.16,1.32,0.28,100.8,9.7544,4294,0.8308,0.0289,0,0.0357,32,N,85387.5,321.6,220,REF,40.72861,-124.06014
WCAP99-0843,5.69,0.15,0,0.034,0.162,0.285,0.174,10,67.3,57.7,-1,0.0775,1.4375,0.15,0,6.4852,3461,0.7964,0.0474,0,0.1059,31,N,73582.5,2383.6,276,REF,40.44593,-122.94635
WCAP99-0844,1.18,0.14,0,0.035,0.211,0.278,0.19,22.8,107,70.9,30,0.13,1.34,0.32,120.5,9.6671,4048,0.9746,0.0368,0,0.1834,40,N,167810.8,67.6,220,REF,40.31673,-123.99758
WCAP99-0845,6.36,0.25,0,0.031,0.041,0.273,0.12,-42.6,113.4,68.4,-26,0.0816,1.4545,0.1771,0,6.5586,3300,0.7302,0.0261,0,0.1333,31,N,57805.6,1551.1,269,REF,42.003,-122.76312
WCAP99-0860,5.3,0.23,0.7332,0.064,0.062,0.507,0.242,-101,71,56.8,-94,0.0713,1.4193,0.1514,10.8,5.0334,1650,0.0646,0.0011,14692,0.0888,28,N,49922.5,1738.9,184,REF,38.3109,-119.34293
WCAP99-0883,10.64,0.12,0,0.043,0.204,0.395,0.243,22.7,67.5,67.5,31,0.1243,1.4071,0.2479,0,5.5114,3888,0.5209,0.0622,0,0.1435,23,N,81908,132.5,179,REF,37.04453,-121.72861
WCAP99-0885,5.89,0.15,0.2572,0.044,0.102,0.428,0.219,-7.1,65.8,58.4,8,0.1226,1.1708,0.2768,4.6,5.0756,3343,0.549,0.0631,2265,0.0703,32,N,100708.6,77.2,196,REF,38.22008,-120.46985
WCAP99-0905,5.3,0.13,0,0.062,0.216,0.69,0.348,-18,30.8,46,-7,0.1385,1.4767,0.3377,104.5,3.6744,2714,0.2723,0,717,0.0924,51,N,66256,41.7,178,REF,34.55734,-119.24876
WCAP99-0984,3.36,0.13,0,0.044,0.205,0.424,0.256,45.7,58.6,63.1,42,0.1347,1.47,0.3008,0,5.1983,2908,0.03,0.0442,24934,0.0754,16,N,54502.8,2144.8,170,REF,37.32884,-121.67384
WCAP99-0988,6.74,0.27,1,0.035,0.098,0.296,0.159,-56,106,60,-35,0.13,1.1025,0.1775,47.2,5.8825,3057,0.9126,0.07,30407,0.0609,31,N,152842.6,491.7,240,REF,40.67583,-121.72809
WCAP99-0991,4.44,0.19,0.4069,0.069,0.068,0.522,0.249,-92.9,96.3,59.4,-81,0.0654,1.3785,0.1113,0,6.1176,2121,0.3954,0.0678,60242,0.068,32,N,96735.8,1553,177,REF,38.73217,-119.92824
WCAP99-1002,5.67,0.18,0,0.071,0.112,0.607,0.274,-67.3,42.7,40.3,-77,0.0796,1.4075,0.15,0,4.3796,2048,0.6952,0,0,0.1394,23,N,36110.1,583.8,176,REF,36.22779,-118.16187
WCAP99-1005,3.36,0.13,0,0.033,0.108,0.275,0.148,-10,122.7,67.7,12,0.1266,1.3171,0.28,68.5,9.6074,4503,0.7826,0.0753,0,0.0927,71,N,179742.4,84.3,233,REF,41.11777,-123.81514
WCAP99-1020,3.6,0.16,0,0.053,0.266,0.773,0.383,-12.2,58.4,50.2,1,0.068,1.5349,0.1344,0,3.3357,2092,0.4368,0,0,0.2432,58,N,44217.3,276.1,170,REF,34.25257,-117.53174
