SiteCode,CaO_Mean,TP_Mean,Vol_ave,AtmCa,AtmNa,AtmNO3,AtmSO4,TMIN_WS,XWD_WS,RH_WS,PT_Tmin,AWC_soil,Db3rdbar,Kfact,Pct_Alfi,SOC,EVI_AveAve,Evergr_ave,alru_dom,Wb_mx_area,slpavg,GW_P_Sp_Mx,ER13,PPT_ACCUM,PPT_2MoAvg,DOY,Type,GIS_LAT,GIS_LONG
526CE0323,5.57,0.23,1,0.039,0.089,0.307,0.163,-63.7,75.7,60.7,-59,0.1165,1.393,0.2036,10.9,7.1514,2274,0.6677,0.0026,24972,0.0644,13,N,26557.4,749.7,220,REF,41.09151,-120.91255
526CE0565,6.74,0.27,1,0.032,0.081,0.283,0.145,1.7,99,58,8,0.1464,1.3809,0.2209,99.5,5.8579,2970,0.1239,0.0675,465,0.0636,46,N,252691.7,2259.4,171,REF,40.813056,-121.931389
526PSCBBL,6.66,0.26,0.9762,0.045,0.095,0.324,0.177,-76.3,94.4,61.8,-80,0.0712,1.2529,0.1187,0,7.6984,1768,0.3799,0.002,651753,0.0591,212,N,61588.3,316.9,267,REF,41.16736,-120.30068
532TGRUPx,5.4,0.2,0.7593,0.051,0.11,0.457,0.235,-7.3,77,59,-8,0.13,1.1577,0.1863,75.9,5.725,3401,0.8994,0.0582,0,0.066,32,N,182709.4,56.2,273,REF,38.48525,-120.44688
60Sittin000.3,26.59,0.1,0,0.644,0.118,0.953,1.111,-11.3,52.3,49,-8,0.1073,1.4542,0.2553,57.6,5.0136,1911,0.6163,0,8088,0.0473,12,Y,39808.8,2935.8,282,REF,,
631CE0074,5.07,0.2,0.3831,0.072,0.06,0.542,0.256,-90.6,65.7,58.7,-94,0.0711,1.3015,0.1238,0,5.4458,2450,0.4092,0.0077,0,0.1418,20,N,50157.8,1177.4,236,REF,38.450556,-119.488056
637CE0511,6.77,0.27,0.9955,0.039,0.11,0.319,0.175,-77.3,81.1,58.4,-95,0.1152,1.1611,0.3667,0,6.6384,2718,0.9264,0.0625,203397,0.0323,35,N,84464.1,362.7,223,REF,40.566389,-121.109722
77Diamon033.2,2.17,0.13,1,0.252,0.062,0.967,0.853,-63.2,67,36.7,-61,0.0954,1.43,0.1537,53.6,5.1965,2246,0.682,0,0,0.0989,15,Y,43593.5,4575.9,282,REF,33.280861,-107.849028
77IronCr009.7,3.69,0.18,1,0.256,0.064,0.983,0.86,-71.3,88,47.3,-74,0.0936,1.4167,0.2,97.4,4.9876,2510,0.9679,0,0,0.0967,22,Y,101391.8,8790.4,272,REF,33.37806,-108.26272
77MFkGil000.1,5.23,0.23,0.8119,0.256,0.063,0.98,0.859,-73.6,74.1,43.5,-66,0.1083,1.4305,0.2897,67,5.2735,1963,0.7592,0,378701,0.0524,24,Y,60266,2305.4,171,REF,33.227471,-108.238061
77WFkGil010.0,4.07,0.2,0.9288,0.254,0.063,0.978,0.857,-59.3,72.6,42.8,-68,0.0921,1.4247,0.182,58,4.8818,2250,0.9456,0,5963,0.0784,21,Y,63364,10695.6,232,REF,33.229,-108.266
80WhiteW008.8,2.71,0.15,0.9886,0.258,0.065,0.988,0.861,-66.4,85.9,46.3,-54,0.0938,1.4302,0.138,36.3,4.9886,2534,0.9375,0,973,0.1651,24,Y,67604.9,7349.4,280,REF,33.3729,-108.8414
Bear,3.65,0.17,0.4578,0.055,0.083,0.428,0.208,-75.9,101.5,56.5,-77,0.0878,1.265,0.1294,0,6.4299,2439,0.5407,0.0289,10620,0.1054,42,N,90258.5,296.6,191,REF,39.18996,-120.19825
Cottonwood,6.66,0.26,0.8466,0.073,0.059,0.551,0.26,-98.3,68.6,57,-90,0.0709,1.4144,0.1456,0,5.0142,1653,0.1278,0.0018,0,0.1093,16,N,44983.4,533,193,REF,38.43976,-119.42347
EPA01-0124,5.18,0.19,0,0.071,0.076,0.375,0.234,-119.3,128.7,65.7,-98,0.1135,1.3616,0.2142,0,6.4848,1850,0.5032,0,29752,0.1666,32,N,106295.9,4843.5,216,REF,45.17575,-116.60935
EPA01-0147,1.93,0.11,0,0.053,0.048,0.413,0.271,-93,156,70.5,-98,0.0797,1.3084,0.1742,0,9.9558,2929,0.8492,0,338,0.1301,121,N,120911.3,8440.2,223,REF,48.83464,-116.88519
EPA01-0159,6.66,0.11,0,0.323,0.19,0.842,0.581,-102,109,60,-104,0.1473,1.3609,0.3618,0,6.8994,2159,0.392,0,548,0.1472,23,N,54283.8,4089.6,189,REF,42.81314,-112.15487
EPA01-0161,1.78,0.15,0.998,0.27,0.156,0.761,0.489,-91.5,86,57.5,-98,0.1337,1.2802,0.4141,0,6.2097,1653,0.0379,0,415,0.0974,17,N,63280.2,2680.5,195,REF,42.07645,-114.24879
EPA01-0167,6.57,0.21,0.325,0.243,0.043,0.799,0.475,-161,125.5,57,-155,0.1015,1.5707,0.1989,0,5.608,2068,0.4852,0,202155,0.0876,28,N,86619.3,3769.8,209,REF,39.88999,-107.32387
EPA01-0209,4.58,0.2,0.654,0.266,0.076,1.036,0.877,-74.9,74.8,42.7,-64,0.1036,1.3854,0.3192,70.5,5.4116,2397,0.9787,0,16417,0.0685,51,Y,57703.3,3499.2,204,REF,33.4791,-109.477
EPA01-0210,4.43,0.2,0.6882,0.271,0.072,1.026,0.874,-85.4,73.1,43,-50,0.098,1.4315,0.2938,83,5.6774,2150,0.8689,0,65283,0.0835,971,Y,52502.1,2950.6,203,REF,33.3256,-109.189
EPA01-0212,4.6,0.22,0.8455,0.281,0.072,1.036,0.88,-103.1,81.6,44.2,-88,0.0889,1.4049,0.2551,100.1,5.9091,2551,0.9808,0,65283,0.0634,42,Y,55228.2,2489.7,197,REF,33.7388,-109.089
EPA01-0214,5.1,0.23,0.5562,0.302,0.073,1.058,0.887,-103,88,46,-101,0.1093,1.3195,0.2629,76.1,5.1269,2347,0.7805,0,98307,0.0651,35,Y,57821.5,2872,198,REF,34.0076,-109.28
EPA01-0239,3.12,0.13,0,0.24,0.071,1.039,0.69,-100.5,70,52,-100,0.0889,1.4314,0.1443,86.5,3.8612,2411,0.3356,0,0,0.1865,19,N,83009.3,8943.5,203,REF,37.85195,-104.9848
EPA01-0240,3.34,0.22,0,0.237,0.076,0.989,0.683,-112,78.3,54,-100,0.08,1.4706,0.1988,68.3,4.1954,2112,0.5504,0,0,0.1918,23,N,69267,8035.8,202,REF,37.42059,-104.97495
EPA01-0242,5.8,0.25,1,0.227,0.077,0.894,0.636,-145,118.5,52.5,-159,0.0864,1.4645,0.1342,51.8,4.94,2110,0.4278,0,112946,0.079,31,N,104127.9,4279.7,197,REF,37.27393,-106.6179
EPA01-0246,5.99,0.25,0.9032,0.222,0.042,0.802,0.506,-186.8,100.3,50.1,-153,0.0692,1.4736,0.1327,80.5,4.3071,1653,0.4638,0,72632,0.1492,23,N,64325.1,1542.6,168,REF,38.17528,-107.38618
EPA01-0305,4.79,0.12,0,0.248,0.082,1.026,0.863,-27.3,73.7,45,-20,0.0995,1.451,0.19,0,2.4213,2063,0.9554,0,0,0.2445,58,N,65608.8,246.5,175,REF,32.7434,-109.84
EPA01-0308,12.45,0.13,0,0.281,0.086,1.052,0.852,-16,67,39,-4,0.1068,1.3674,0.13,0,2.9086,2184,0.4707,0,0,0.2656,21,Y,54421.1,3177.8,140,REF,33.82352,-110.85971
EPA01-0315,9.96,0.13,0,0.305,0.083,1.064,0.825,-56.4,75.6,44.4,-47,0.1065,1.3832,0.2033,66.4,5.2871,2481,0.9641,0,2743,0.057,24,Y,54410.3,175,175,REF,34.2061,-111.00403
EPA01-0421,22.73,0.11,0,0.079,0.034,0.462,0.308,-134,123,60,-128,0.09,1.4957,0.2,0,5.6746,2208,0.5662,0,0,0.1567,27,N,91881.4,8375.8,175,REF,47.91693,-112.82279
EPA01-0432,3.96,0.14,0,0.171,0.048,0.583,0.354,-161.9,113,54.3,-118,0.066,1.6334,0.0722,0,5.8752,2294,0.677,0,37439,0.17,24,N,59012,5199.5,214,REF,45.34053,-110.24602
EPA01-0448,1.97,0.14,0,0.101,0.048,0.498,0.323,-125.4,158.6,67,-99,0.05,1.7386,0.0848,0,9.9028,1750,0.551,0,28877,0.1981,1928,N,114982.5,6598.4,242,REF,46.19281,-114.25726
EPA01-0450,3.64,0.11,0,0.057,0.038,0.424,0.275,-93.2,176.8,69,-84,0.08,1.23,0.07,0,10.44,2329,0.8255,0,56475,0.2308,52,N,157364.3,11341.3,244,REF,48.12142,-115.69865
EPA01-0452,23.93,0.08,0,0.056,0.03,0.407,0.27,-122,153,62.5,-111,0.08,1.23,0.1159,0,3.9941,2694,0.917,0,0,0.115,788,N,106497.5,9606.3,178,REF,48.74266,-114.72992
EPA01-0537,9.64,0.21,0,0.214,0.059,0.721,0.508,-130.1,82.4,55.3,-137,0.0849,1.4153,0.0822,0,3.8063,2196,0.542,0,1420727,0.0759,765,N,69337.1,6450.6,246,REF,42.68064,-108.67208
EPA01-0555,24.04,0.2,0,0.214,0.055,0.844,0.561,-108.5,82,55.7,-86,0.1435,1.3326,0.2479,0,4.6848,1636,0.1975,0,5533,0.0624,17,N,46007.5,4994.7,204,REF,43.5889,-106.95314
EPA01-0556,5.19,0.12,0,0.228,0.068,0.803,0.546,-153.1,88.2,55.7,-135,0.08,1.45,0.06,0,5.0285,970,0.1451,0,169716,0.1812,23,N,62641.9,5939.2,245,REF,43.40107,-109.58685
EPA01-101,16.8,0.12,0,0.241,0.043,1.02,0.671,-136.8,80.8,48,-116,0.0925,1.3901,0.2,25.1,3.7409,2450,0.9194,0,11531,0.1408,24,N,88296.5,4205.2,139,REF,35.775433,-105.704267
EPA01-102,2.47,0.13,0.8945,0.377,0.064,0.949,0.862,-83.6,78,48.6,-68,0.1,1.36,0.37,0,5.3238,2737,0.8507,0,0,0.1056,23,Y,65205,2208.5,143,REF,33.461,-105.807833
EPA01-103,7.1,0.22,0.3993,0.247,0.056,1.017,0.694,-121.2,82.2,50.9,-98,0.1064,1.4208,0.2674,85.1,5.1201,2310,0.8122,0,206709,0.0739,30,N,62536.4,5218.5,150,REF,36.376667,-104.989317
EPA01-104,20.32,0.16,0.0763,0.241,0.071,0.987,0.687,-122.5,84.5,52,-122,0.1448,1.3578,0.2357,6.4,4.992,2355,0.6004,0,0,0.0875,18,N,61394.7,3412.4,152,REF,36.78,-105.22
EPA01-105,6,0.25,0.9261,0.24,0.074,0.98,0.687,-137,89,52,-128,0.1017,1.4208,0.2,55.2,3.9496,2269,0.752,0,700,0.0566,16,N,66979.6,3379,153,REF,36.766817,-105.393133
EPA01-106,27.92,0.1,0,0.245,0.048,1.021,0.681,-137.6,95.3,51.2,-116,0.1056,1.4366,0.2,100.8,4.2261,2214,0.8327,0,23351,0.0985,26,N,80076.3,2983.3,154,REF,36.103333,-105.4875
EPA01-107,4.59,0.15,0,0.24,0.043,1.02,0.67,-150,84.2,50.2,-89,0.0874,1.3928,0.1853,0,3.7449,2459,0.8164,0,1349,0.1127,24,N,77408.8,3117.8,155,REF,35.923667,-105.861333
EPA01-108,12.1,0.13,0,0.245,0.045,1.071,0.709,-151.5,98.3,52.5,-84,0.1271,1.3836,0.2905,0,3.5561,2497,0.6749,0,3133,0.1218,25,N,73268.8,2618.4,156,REF,36.173667,-106.847333
EPA01-109,20.74,0.12,0,0.313,0.107,0.944,0.531,-105.4,80,47.8,-90,0.1,1.24,0.28,0,2.3087,2257,0.771,0,0,0.176,16,N,56828.8,806.3,167,REF,39.23385,-114.1558
EPA01-111,6.3,0.1,0,0.301,0.107,0.927,0.52,-104.5,75.3,52.3,-93,0.0996,1.2426,0.2723,0,2.659,1760,0.5187,0,0,0.2107,38,N,58761.5,290.2,168,REF,39.237333,-114.569667
EPA01-112,6.04,0.12,0,0.302,0.108,0.926,0.52,-109.5,78.5,50.5,-96,0.1,1.24,0.28,0,2.6866,1929,0.5717,0,0,0.2172,35,N,62381.7,527.9,169,REF,39.436,-114.5633
EPA01-113,24.45,0.16,0.2314,0.285,0.104,0.899,0.5,-102.7,68.5,48,-118,0.0984,1.2697,0.2556,0,2.7949,1812,0.5743,0,639,0.1427,56,N,45436.3,563.3,170,REF,38.942067,-115.375883
EPA01-114,2.96,0.15,1,0.069,0.106,0.387,0.222,-67.7,68.7,59.7,-72,0.1176,1.3476,0.2304,0,5.3731,1278,0.007,0,0,0.081,17,N,24518.8,500,172,REF,41.529783,-118.965417
EPA01-115,12.52,0.22,0,0.117,0.104,0.498,0.289,-70,88,49,-65,0.11,1.34,0.2,0,3.7811,1647,0.0385,0,0,0.1847,42,N,50895.5,1843.9,173,REF,41.446567,-117.66615
EPA01-116,8.67,0.19,0,0.116,0.104,0.493,0.288,-77,87.5,51,-73,0.1107,1.3541,0.2476,0,4.3294,1573,0.1494,0,0,0.1777,55,N,46318.1,1585.3,173,REF,41.5675,-117.729483
EPA01-117,3.46,0.2,1,0.122,0.106,0.498,0.295,-69,85,62,-79,0.11,1.37,0.28,0,5.4001,1267,0.0005,0,0,0.0694,17,N,43438.1,1647.9,174,REF,41.814567,-117.448383
EPA01-118,3.91,0.15,0,0.181,0.126,0.625,0.377,-85,106,47,-107,0.1091,1.3364,0.19,0,7.1693,1664,0.2591,0,0,0.199,27,N,63230.1,2221.4,175,REF,41.545583,-115.997783
EPA01-119,8.75,0.12,0,0.279,0.134,0.815,0.483,-94.2,95.2,46.2,-111,0.11,1.39,0.24,0,2.687,1238,0.1327,0,50383,0.1682,40,N,59095.9,2874.8,176,REF,40.597567,-115.383467
EPA01-121,4.18,0.17,0,0.274,0.129,0.813,0.478,-86.4,93,51.2,-87,0.09,1.46,0.1,0,2.7406,1789,0.1775,0,0,0.2168,105,N,47998,958.6,177,REF,40.485283,-115.562783
EPA01-122,6.54,0.12,0,0.287,0.141,0.818,0.492,-99.5,96.5,46.5,-101,0.11,1.39,0.24,0,2.7462,1583,0.0575,0,22571,0.0874,602,N,69171.1,2849.7,178,REF,40.767567,-115.276217
EPA01-123,8.28,0.31,0.8621,0.083,0.095,0.388,0.239,-85.1,102.3,61.6,-87,0.104,1.4081,0.1699,0,6.2041,3071,0.7697,0,84974,0.0854,984,N,56267.6,3512.9,185,REF,44.717,-116.5477
EPA01-124,5.24,0.19,0,0.07,0.076,0.375,0.234,-120,128.8,66,-90,0.1138,1.3599,0.215,0,6.4901,1884,0.5238,0,59415,0.1773,32,N,79155.2,4085,186,REF,45.1816,-116.6262
EPA01-125,9.07,0.32,0.9626,0.075,0.082,0.384,0.24,-103.9,126.4,62.6,-98,0.11,1.39,0.2,0,6.4449,2755,0.8807,0,0,0.0908,372,N,78952.3,3915.8,187,REF,45.1326,-116.4159
EPA01-126,2.67,0.13,0,0.087,0.085,0.418,0.258,-115.6,155.2,65.6,-123,0.0705,1.6337,0.1735,0,7.8239,1497,0.4534,0,64265,0.1348,39,N,90742.5,6064,187,REF,45.1324,-115.9697
EPA01-127,4.42,0.19,0.3106,0.105,0.113,0.432,0.268,-122,135,67,-119,0.07,1.723,0.17,0,6.9423,2532,0.7711,0,0,0.151,1446,N,61985.1,4188.8,188,REF,44.5261,-116.1122
EPA01-128,2.82,0.14,0,0.104,0.102,0.439,0.272,-133.4,138.6,63.9,-114,0.07,1.69,0.1,0,9.246,2168,0.8037,0,31551,0.1064,59,N,80258.5,5080.9,188,REF,44.7816,-115.8712
EPA01-129,2.67,0.13,0,0.117,0.114,0.463,0.285,-124.3,119.7,63,-107,0.064,1.6779,0.1422,0,9.8313,2189,0.7291,0,0,0.1239,29,N,62990.5,3989.2,189,REF,44.3829,-115.7591
EPA01-131,2.61,0.13,0.0001,0.132,0.117,0.51,0.309,-123.4,108.8,63.2,-95,0.0899,1.3817,0.1007,0,8.4925,1974,0.3755,0,55651,0.1066,1079,N,61879,4243.6,190,REF,43.8394,-115.5324
EPA01-132,2.67,0.13,0,0.125,0.128,0.491,0.301,-91.2,102.1,59.6,-69,0.05,1.56,0.11,0,5.5142,2427,0.3788,0,0,0.1209,22,N,52752.4,2670.3,190,REF,43.6612,-115.8339
EPA01-133,2.68,0.14,0.0101,0.145,0.104,0.575,0.336,-100.5,81.2,60.3,-85,0.0981,1.5457,0.2564,0,5.1902,1999,0.2902,0,38330,0.0853,929,N,39507.7,1992.5,191,REF,43.4196,-115.2717
EPA01-134,2.67,0.13,0,0.145,0.101,0.573,0.334,-120.4,114.6,67.4,-136,0.089,1.3966,0.1,0,7.2387,1774,0.4596,0,33363,0.1408,33,N,71627.6,6441.5,192,REF,43.7868,-114.9624
EPA01-135,11.53,0.2,0.5806,0.155,0.079,0.641,0.357,-105.5,91.9,63.6,-143,0.0752,1.3859,0.2256,0,5.8348,2175,0.6557,0,1089,0.1146,26,N,54181.8,2284.6,192,REF,43.6501,-114.524
EPA01-136,3.85,0.19,0.4479,0.159,0.066,0.674,0.366,-164,91,56,-173,0.09,1.4333,0.1667,0,4.3361,1932,0.4104,0,16634,0.1399,28,N,55178.1,4141.2,193,REF,43.786,-113.9398
EPA01-137,2.43,0.13,0,0.145,0.096,0.571,0.334,-150,118,64.5,-124,0.08,1.63,0.12,0,7.8315,2090,0.8612,0,39084,0.1736,23,N,57286.1,6240.4,193,REF,44.2202,-114.787
EPA01-138,3.49,0.16,1,0.143,0.083,0.572,0.341,-126,102,67,-118,0.06,1.77,0.15,0,6.9345,2223,0.7011,0,1037,0.1372,19,N,51211.9,4995.2,197,REF,44.7814,-114.3013
EPA01-139,1.55,0.13,0,0.137,0.064,0.567,0.358,-152.6,118.3,65.6,-101,0.0869,1.4743,0.1348,0,7.0962,2328,0.7216,0,7519,0.1785,1188,N,56306.3,6146.8,197,REF,45.3143,-113.8029
EPA01-141,4.49,0.13,0.2014,0.16,0.072,0.645,0.372,-162.1,91.2,60,-133,0.0746,1.4743,0.1428,0,4.3793,2143,0.5922,0,12755,0.1219,420,N,46817.5,5012.4,198,REF,44.5714,-113.3944
EPA01-143,14.06,0.15,0.2311,0.17,0.071,0.659,0.388,-127.1,83.5,61.3,-130,0.0949,1.4851,0.1551,0,5.0626,1648,0.2275,0,130646,0.0854,1444,N,34253,5574.9,199,REF,44.2874,-112.4923
EPA01-144,3.22,0.13,0,0.071,0.041,0.45,0.297,-95.8,186.5,68.5,-91,0.0996,1.1145,0.1503,0,10.3367,2168,0.7895,0,78129,0.0822,1453,N,111639.4,6893.2,200,REF,47.0246,-115.1479
EPA01-145,4.92,0.11,0,0.057,0.042,0.43,0.28,-72,161.5,67.5,-69,0.0916,1.1553,0.216,0,10.3661,3183,0.9055,0,0,0.171,65,N,83956.8,5862.7,201,REF,47.8728,-116.1054
EPA01-146,3.23,0.15,0,0.056,0.04,0.424,0.273,-94.7,129.5,64,-97,0.0832,1.27,0.2064,0,10.2542,2799,0.9377,0,0,0.1178,27,N,50682.8,4728.9,201,REF,48.8562,-116.2673
EPA01-147,1.75,0.12,0,0.053,0.048,0.412,0.271,-95,162,71.5,-96,0.085,1.26,0.185,0,9.7645,2197,0.7542,0,338,0.1581,75,N,124673.8,10762.5,202,REF,48.8686,-116.8816
EPA01-148,2.63,0.11,0,0.056,0.041,0.44,0.303,-62.3,129.5,63,-67,0.1055,1.27,0.2083,0,8.3353,3765,0.9866,0,0,0.0827,40,N,71730.6,4475.1,203,REF,47.0422,-116.7182
EPA01-149,10.81,0.37,0.8402,0.056,0.044,0.429,0.292,-82.4,117,61.7,-56,0.1414,1.3316,0.4208,0,6.3803,2844,0.5213,0,3024,0.0568,16,N,51129.3,4386.2,203,REF,46.2718,-116.6945
EPA01-151,1.57,0.13,0,0.071,0.051,0.436,0.284,-101,149.4,64.8,-85,0.15,1.27,0.28,0,10.211,3070,0.9721,0,0,0.0726,27,N,94853,9944.1,204,REF,46.0203,-115.6023
EPA01-152,3.24,0.16,0,0.084,0.058,0.451,0.286,-126,146,62,-108,0.1425,1.2787,0.275,0,10.3832,3048,0.9994,0,0,0.0545,26,N,83746.1,9388.3,204,REF,45.7788,-115.2182
EPA01-153,7.21,0.28,1,0.118,0.129,0.487,0.293,-89.5,77.8,56.8,-59,0.1153,1.3562,0.1963,50,4.1503,1328,0.0271,0,11456,0.0782,14,N,37252.9,1946.9,206,REF,43.3849,-116.8917
EPA01-154,3.28,0.17,0.96,0.121,0.118,0.503,0.301,-91.3,73.5,58.2,-92,0.1106,1.3915,0.177,79.4,6.0434,1605,0.2343,0,6513,0.0501,613,N,40076.1,2698.7,208,REF,42.5917,-116.9781
EPA01-155,3.31,0.17,0.7782,0.145,0.12,0.554,0.333,-100.9,70.4,53.7,-88,0.1187,1.3773,0.2505,59.7,6.0811,1182,0.0251,0,10881823,0.0309,1175,N,28379.4,2263.9,209,REF,42.2612,-116.8682
EPA01-156,2.21,0.15,0.9889,0.136,0.119,0.54,0.324,-84.6,63.7,55.3,-75,0.1228,1.3887,0.2554,64.3,4.206,977,0,0,230398,0.0372,199,N,20055.6,2014.4,210,REF,42.5941,-115.9939
EPA01-157,4.69,0.17,0.739,0.185,0.129,0.633,0.385,-102.4,75.4,54.7,-71,0.1156,1.3812,0.2478,1.2,6.011,1293,0.0522,0,226628,0.065,230,N,28487.1,2445,211,REF,42.3423,-115.6449
EPA01-158,2.86,0.19,0.9777,0.202,0.136,0.666,0.408,-99.5,82.2,54.9,-100,0.1093,1.3597,0.2158,0,6.3622,1361,0.0146,0,2163,0.0607,16,N,33607.8,2971.9,211,REF,42.0278,-115.2162
EPA01-159,1.77,0.14,0.9986,0.271,0.156,0.762,0.489,-91.5,86,57.5,-96,0.1354,1.2483,0.4342,0,6.2135,1599,0.0335,0,778,0.0925,17,N,41237.5,3786.8,212,REF,42.0722,-114.2545
EPA01-161,6.91,0.11,0,0.324,0.191,0.843,0.581,-99.8,112,59,-90,0.148,1.362,0.366,0,6.8994,2201,0.4527,0,548,0.1605,23,N,44597.4,2286.7,214,REF,42.8092,-112.1762
EPA01-162,4.14,0.22,0.9427,0.174,0.052,0.599,0.363,-154,141,56,-141,0.1,1.4,0.15,0,4.1081,2102,0.7119,0,100764,0.042,75,N,62683.4,3141.9,214,REF,44.6398,-111.2557
EPA01-164,28.87,0.11,0,0.322,0.172,0.859,0.603,-126,117,57,-124,0.16,1.48,0.28,0,5.2881,2772,0.7173,0,0,0.1107,1359,N,49228.4,2105.7,216,REF,42.9333,-111.3802
EPA01-165,10.71,0.08,0,0.408,0.26,0.928,0.692,-124,106,55,-114,0.16,1.48,0.28,0,6.1755,2578,0.4317,0,807,0.1321,50,N,66753.3,1615.7,216,REF,42.4716,-111.4849
EPA01-168,9.54,0.23,0.5132,0.239,0.042,0.769,0.455,-154,122,58,-146,0.1097,1.5197,0.1928,0,5.5119,2323,0.5769,0,12466,0.1194,25,N,86071.5,4715.8,223,REF,39.8525,-107.315
EPA01-169,19.72,0.16,0.0146,0.24,0.042,0.746,0.442,-142.5,105.5,56.3,-120,0.1261,1.3615,0.2434,0,6.2819,2428,0.189,0,13355,0.1106,43,N,68039.7,4875.8,224,REF,39.6943,-107.5865
EPA01-171,9.57,0.2,0,0.261,0.048,1.072,0.635,-145.1,125.3,55.6,-144,0.0807,1.4027,0.1593,46,4.8579,2400,0.6691,0,837,0.0722,31,N,84693.4,3413.3,225,REF,40.915,-106.8786
EPA01-172,3.62,0.12,0,0.236,0.038,1.159,0.614,-123.1,94.4,55.2,-98,0.0887,1.5848,0.1007,84.9,5.0129,2331,0.7599,0,452269,0.0997,23,N,53149.9,5596.7,226,REF,40.6857,-105.4469
EPA01-202,3.14,0.17,0.8678,0.25,0.063,0.965,0.852,-56.9,68.8,38,-55,0.1,1.4313,0.3306,99.1,4.9424,2475,0.8771,0,2920,0.0925,19,Y,62069.7,3212.6,141,REF,33.042217,-107.97825
EPA01-203,3.64,0.18,1,0.249,0.063,0.964,0.851,-57,69,38,-55,0.0968,1.4232,0.2825,69,4.6448,2914,0.5099,0,0,0.1209,19,Y,64201.6,3483.1,142,REF,33.038533,-107.8972
EPA01-213,3.79,0.17,0.4368,0.297,0.071,1.046,0.884,-106,90,45,-102,0.1008,1.4196,0.1988,97,4.5756,2796,0.8204,0,0,0.1274,36,Y,69767,2652.1,152,REF,33.968617,-109.083333
EPA01-216,2.36,0.13,0,0.353,0.055,1.06,0.761,-122.8,59.8,52.4,-118,0.1365,1.444,0.254,34.6,3.4619,2621,0.8077,0,48930,0.058,15,Y,31533.7,1138.3,156,REF,36.078017,-108.923333
EPA01-217,4.37,0.13,0,0.356,0.055,1.058,0.76,-114,52,53.5,-98,0.1384,1.4363,0.2463,15.4,3.4736,2677,0.8317,0,24694,0.0892,15,Y,28899.1,966.7,156,REF,36.161367,-109.029333
EPA01-218,2.92,0.12,0,0.36,0.054,1.055,0.761,-120,40,53,-103,0.077,1.313,0.177,0,3.4137,2689,0.8287,0,23080,0.0988,28,Y,25398.9,600.3,157,REF,36.452967,-109.155467
EPA01-219,2.99,0.12,0.0351,0.358,0.054,1.055,0.761,-119.1,42.9,53,-92,0.0853,1.3284,0.1853,0,3.4463,2649,0.8662,0,44479,0.0748,43,Y,26250.3,726.2,157,REF,36.3455,-109.110633
EPA01-220,1.18,0.12,0,0.355,0.054,1.055,0.759,-119.3,52,53,-102,0.14,1.43,0.24,0,3.4782,2520,0.7294,0,26846,0.0466,15,Y,27834,1136.5,158,REF,36.2718,-109.03725
EPA01-221,17.68,0.11,0,0.373,0.058,1.085,0.783,-111.5,60.3,53,-98,0.1236,1.4743,0.2715,90,2.6125,2329,0.9061,0,3612,0.0246,10,N,35778.4,1231.3,159,REF,35.7891,-109.292717
EPA01-227,23.56,0.18,0,0.336,0.061,0.967,0.615,-92,50,50,-83,0.09,1.47,0.14,0,3.0938,1320,0.0213,0,0,0.0589,214,N,28565.6,1348.6,168,REF,37.7972,-111.412617
EPA01-228,2.18,0.15,0.6076,0.4,0.066,1.001,0.646,-145.6,70.8,45.6,-117,0.1135,1.362,0.2839,0,3.3336,2174,0.478,0,52968,0.0615,30,N,60036.5,2619.4,169,REF,38.00465,-111.463333
EPA01-229,2.32,0.15,0.7126,0.428,0.068,1.016,0.66,-151.6,70.9,47.3,-108,0.1106,1.3659,0.2918,0,3.3519,2290,0.6965,0,33143,0.0966,29,N,58284,2649.6,170,REF,38.10275,-111.342067
EPA01-231,9.92,0.29,0,0.633,0.079,1.144,0.761,-138,68.7,50.7,-110,0.1,1.27,0.2,0,2.7124,2091,0.6063,0,0,0.196,66,N,57708.1,2879.9,171,REF,38.1144,-110.77385
EPA01-232,17.83,0.18,0,0.472,0.063,1.089,0.723,-76.8,86,53.8,-87,0.1014,1.4424,0.1837,0,4.7443,2620,0.0869,0,17298,0.1576,103,N,74145.8,3196.5,173,REF,37.79705,-109.51289
EPA01-234,24.72,0.14,0,0.662,0.078,1.186,0.774,-98.6,63.5,52,-81,0.098,1.3602,0.2522,0,3.2623,1500,0.4776,0,1416,0.1271,180,N,30854.1,1859.3,174,REF,38.683,-109.35493
EPA01-235,13.33,0.2,0,0.547,0.141,1.079,0.725,-126.1,92.4,51.9,-103,0.0999,1.2851,0.2356,0,6.4132,2328,0.1049,0,7101,0.0927,20,N,56276.5,1673.5,178,REF,40.14299,-111.33987
EPA01-236,1.21,0.16,0,0.444,0.154,1.054,0.688,-128,101.4,52.5,-130,0.0808,1.464,0.1582,0,6.3097,2317,0.6684,0,133601,0.1075,25,N,68824.8,2087.5,179,REF,40.5988,-111.0927
EPA01-237,2.26,0.13,0,0.412,0.134,1.053,0.671,-145,99.6,49.4,-163,0.1011,1.4405,0.2398,0,5.6867,1834,0.4998,0,95802,0.0997,1229,N,84227.1,3384.7,179,REF,40.88861,-110.53606
EPA01-240,3.75,0.23,0,0.237,0.075,0.991,0.683,-112,78.3,54,-107,0.08,1.4659,0.2082,77.5,4.1626,2225,0.562,0,0,0.1936,20,N,53023.9,4638.4,190,REF,37.41225,-104.96436
